freq,unit,sex,age,citizen,geo\TIME_PERIOD	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 	2024-Q2 	2024-Q3 
Q,PC,T,Y15-64,TOTAL,AT	74.1 	74.7 	74.0 	73.2 	74.1 	74.9 	74.2 	73.3 	74.0 	74.8 
Q,PC,T,Y15-64,TOTAL,BA	49.6 	50.1 	50.5 	50.8 	51.3 	52.2 	53.0 	52.5 	53.4 	: 
Q,PC,T,Y15-64,TOTAL,BE	66.0 	66.9 	66.8 	66.6 	65.9 	66.8 	66.9 	66.2 	66.6 	66.9 
Q,PC,T,Y15-64,TOTAL,BG	70.0 	72.1 	71.7 	70.4 	70.3 	71.5 	70.5 	70.2 	71.0 	71.7 
Q,PC,T,Y15-64,TOTAL,CH	79.9 	80.1 	80.6 	80.5 	80.7 	80.4 	81.0 	80.2 	80.5 	80.2 
Q,PC,T,Y15-64,TOTAL,CY	74.0 	74.7 	74.6 	74.6 	75.7 	75.7 	74.7 	74.2 	75.8 	76.6 
Q,PC,T,Y15-64,TOTAL,CZ	75.3 	75.8 	75.8 	74.5 	75.2 	75.3 	75.4 	74.9 	75.3 	75.7 
Q,PC,T,Y15-64,TOTAL,DE	76.7 	76.8 	77.0 	76.9 	77.2 	77.2 	77.5 	77.1 	77.4 	77.4 
Q,PC,T,Y15-64,TOTAL,DK	77.0 	77.2 	76.9 	76.6 	76.4 	76.6 	76.7 b	77.2 	77.7 	77.3 
Q,PC,T,Y15-64,TOTAL,EA20	69.5 	69.7 	69.6 	69.4 	70.2 	70.3 	70.3 	69.9 	70.6 	70.8 
Q,PC,T,Y15-64,TOTAL,EE	76.0 	76.5 	76.9 	76.4 	76.4 	76.2 	75.9 	75.3 	76.6 	75.8 
Q,PC,T,Y15-64,TOTAL,EL	61.1 	61.9 	60.7 	60.3 	62.4 	62.8 	61.7 	61.6 	64.0 	64.1 
Q,PC,T,Y15-64,TOTAL,ES	64.6 d	64.8 d	64.2 d	64.0 d	65.7 d	66.0 d	65.7 d	65.1 d	66.3 d	66.6 d
Q,PC,T,Y15-64,TOTAL,EU27_2020	69.9 	70.1 	70.0 	69.8 	70.5 	70.7 	70.6 	70.3 	70.9 	71.1 
Q,PC,T,Y15-64,TOTAL,FI	75.4 	74.8 	74.3 	73.1 	75.4 	74.6 	73.0 	72.0 	73.8 	73.1 
Q,PC,T,Y15-64,TOTAL,FR	68.2 d	68.6 d	68.2 d	68.2 d	68.7 d	68.6 d	68.3 d	68.5 d	69.2 d	69.4 d
Q,PC,T,Y15-64,TOTAL,HR	65.3 	65.5 	65.6 	64.6 	66.0 	65.8 	66.5 	68.0 	68.7 	68.5 
Q,PC,T,Y15-64,TOTAL,HU	74.5 	74.7 	74.6 	74.4 	74.9 	75.2 	75.2 	74.8 	75.2 	75.3 
Q,PC,T,Y15-64,TOTAL,IE	73.6 	73.3 	73.3 	73.7 	74.2 	74.2 	74.0 	73.8 	74.4 	75.3 
Q,PC,T,Y15-64,TOTAL,IS	84.1 	83.7 	83.3 	82.2 	85.2 	84.6 	82.9 	83.1 	86.5 	87.6 
Q,PC,T,Y15-64,TOTAL,IT	60.5 	60.3 	60.7 	60.6 	61.6 	61.6 	62.1 	61.6 	62.3 	62.6 
Q,PC,T,Y15-64,TOTAL,LT	74.4 	75.2 	72.8 	71.5 	73.8 	74.3 	72.9 	72.2 	74.2 	74.2 
Q,PC,T,Y15-64,TOTAL,LU	70.3 	70.0 	69.6 	70.6 	70.9 	70.5 	69.1 	69.8 	70.1 	69.1 
Q,PC,T,Y15-64,TOTAL,LV	71.5 	72.0 	71.3 	70.8 	71.8 	72.0 	71.2 	71.1 	71.5 	71.6 
Q,PC,T,Y15-64,TOTAL,MT	75.9 	76.7 	78.1 	77.0 	76.8 	78.7 	78.7 	78.4 	78.4 	80.3 
Q,PC,T,Y15-64,TOTAL,NL	81.8 	81.9 	82.2 	82.1 	82.5 	82.6 	82.5 	82.1 	82.5 	82.4 
Q,PC,T,Y15-64,TOTAL,NO	78.2 	78.1 	77.3 	76.8 	77.8 	78.0 	77.0 	76.6 	77.4 	77.5 
Q,PC,T,Y15-64,TOTAL,PL	71.5 	71.3 	72.0 	72.2 	72.2 	72.4 	72.7 	72.3 	72.3 	72.7 
Q,PC,T,Y15-64,TOTAL,PT	71.0 	71.8 	71.5 	71.5 	72.5 	72.8 	72.7 	72.2 	72.7 	73.2 
Q,PC,T,Y15-64,TOTAL,RO	63.5 	63.4 	62.8 	62.9 	63.0 	63.3 	63.0 	64.2 	64.4 	63.3 
Q,PC,T,Y15-64,TOTAL,RS	64.7 	64.8 	63.5 	63.8 	64.9 	65.4 	64.7 	65.4 	66.3 	67.0 
Q,PC,T,Y15-64,TOTAL,SE	77.6 	78.5 	76.7 	76.3 	78.0 	78.5 	76.8 	75.8 	77.5 	77.7 
Q,PC,T,Y15-64,TOTAL,SI	73.1 	73.9 	73.0 	71.5 	73.1 	72.6 	72.8 	73.8 	73.3 	72.6 
Q,PC,T,Y15-64,TOTAL,SK	71.4 	71.6 	71.8 	71.3 	72.0 	71.9 	72.7 	72.0 	72.4 	72.2 
Q,PC,T,Y15-64,TOTAL,TR	53.0 	53.5 	54.0 	52.7 	53.6 	54.5 	54.4 	54.3 	55.3 	55.8 
