freq,nace_r2,sizeclas,unit,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,B-S,TOTAL,AVG_A,AT	1.8 	1.9 	2.1 	2.7 	3.2 	3.4 	2.8 	3.9 	5.3 	4.7 
A,B-S,TOTAL,AVG_A,BE	2.2 b	2.4 	2.8 	3.4 	3.5 	3.5 	3.1 	4.3 	4.8 	4.6 
A,B-S,TOTAL,AVG_A,BG	0.7 	0.8 	0.9 	0.8 	0.9 	0.9 	0.8 	0.8 	0.9 p	0.8 p
A,B-S,TOTAL,AVG_A,CH	1.2 	1.1 	1.1 	1.2 	1.4 	1.6 	1.3 	1.7 	2.3 	2.1 
A,B-S,TOTAL,AVG_A,CY	0.7 	0.9 	1.0 	1.1 	1.4 	1.7 	1.6 	2.3 	2.5 	2.8 
A,B-S,TOTAL,AVG_A,CZ	1.3 	2.2 	2.9 	3.8 	5.5 	6.2 	5.3 	5.0 	4.7 	3.7 
A,B-S,TOTAL,AVG_A,DE	2.3 	2.4 	2.4 	2.7 	3.1 	3.3 	2.5 	3.2 	4.3 	4.1 
A,B-S,TOTAL,AVG_A,EA	1.4 e	1.5 e	1.6 	1.9 	2.1 	2.3 	: 	: 	: 	: 
A,B-S,TOTAL,AVG_A,EA19	1.4 e	1.5 e	1.6 	1.9 	2.1 	2.2 	1.8 	2.4 	3.1 	2.9 e
A,B-S,TOTAL,AVG_A,EA20	1.4 	1.5 	1.7 	2.0 	2.2 	2.3 	1.9 	2.5 	3.2 	3.1 
A,B-S,TOTAL,AVG_A,EE	1.4 	1.5 	1.7 	2.1 	1.9 	1.9 	1.4 	1.7 	2.0 	1.8 
A,B-S,TOTAL,AVG_A,EL	0.9 	0.6 	0.7 	0.6 	0.6 	0.6 	0.4 	0.6 	1.0 	1.6 p
A,B-S,TOTAL,AVG_A,ES	0.4 	0.5 	0.5 	0.6 	0.7 	0.7 	0.6 	0.7 	0.9 	0.9 
A,B-S,TOTAL,AVG_A,EU	1.3 e	1.5 e	1.6 	1.9 	2.1 	2.2 	: 	: 	: 	: 
A,B-S,TOTAL,AVG_A,EU27_2007	1.5 	1.6 	1.8 	2.0 	2.2 	2.3 	: 	: 	: 	: 
A,B-S,TOTAL,AVG_A,EU27_2020	1.3 	1.5 	1.6 	1.9 	2.2 	2.3 	1.8 	2.4 	3.0 	2.8 
A,B-S,TOTAL,AVG_A,EU28	1.5 	1.6 	1.8 	2.0 	2.2 	2.3 	: 	: 	: 	: 
A,B-S,TOTAL,AVG_A,FI	1.3 	1.3 	1.6 	1.9 	2.2 	2.2 	1.9 	2.6 	2.9 	2.3 
A,B-S,TOTAL,AVG_A,FR	1.0 	1.1 	1.4 	1.8 	1.9 	2.2 	: 	2.7 	3.3 	3.1 
A,B-S,TOTAL,AVG_A,HR	0.9 	1.1 	1.6 b	1.7 	1.7 	1.5 	1.1 	1.6 	1.6 	1.6 
A,B-S,TOTAL,AVG_A,HU	1.4 	1.6 	1.9 	2.3 	2.7 	2.5 p	2.0 p	2.3 p	2.8 p	2.4 p
A,B-S,TOTAL,AVG_A,IE	0.7 	0.9 	1.0 	1.0 	1.0 	1.0 	0.8 	1.3 	1.5 	1.3 
A,B-S,TOTAL,AVG_A,IS	: 	: 	: 	: 	: 	1.9 	1.4 	3.1 	3.7 	2.7 
A,B-S,TOTAL,AVG_A,IT	: 	: 	0.9 	1.2 	1.3 	1.4 	0.9 	1.8 	2.2 	2.3 
A,B-S,TOTAL,AVG_A,LT	1.0 	1.1 	1.3 	1.6 	1.5 	1.4 	1.3 	1.8 	1.9 	2.0 
A,B-S,TOTAL,AVG_A,LU	0.9 	1.2 	1.4 	1.5 	1.7 	1.7 	1.5 	1.9 	2.5 	1.9 
A,B-S,TOTAL,AVG_A,LV	1.4 	1.5 	1.6 	1.9 	2.5 	3.1 	2.2 	2.7 	2.9 	2.7 
A,B-S,TOTAL,AVG_A,MK	1.5 	1.5 	1.3 	1.5 	1.6 	1.6 	1.6 	1.7 	1.8 	1.9 
A,B-S,TOTAL,AVG_A,MT	: 	: 	: 	2.1 p	2.6 p	2.5 p	1.6 p	2.2 p	2.6 p	2.8 p
A,B-S,TOTAL,AVG_A,NL	1.4 	1.7 p	2.0 p	2.5 p	3.0 p	3.3 p	2.5 p	3.8 p	4.9 p	4.5 p
A,B-S,TOTAL,AVG_A,NO	2.3 	2.0 	1.9 	2.1 	2.4 	2.5 	2.2 	3.0 	3.4 	3.7 
A,B-S,TOTAL,AVG_A,PL	0.5 	0.6 	0.8 	1.0 	1.2 	1.1 	0.7 	1.1 	1.1 	0.9 
A,B-S,TOTAL,AVG_A,PT	0.6 	0.6 	0.7 	0.9 	0.9 	1.0 	0.7 	1.0 	1.5 	1.4 
A,B-S,TOTAL,AVG_A,RO	0.9 	1.1 	1.3 	1.3 	1.3 	1.1 	0.8 	0.9 	0.9 	0.8 
A,B-S,TOTAL,AVG_A,SE	1.6 	1.9 	2.1 	2.3 	2.5 	2.4 	1.8 	2.4 	3.1 	2.8 
A,B-S,TOTAL,AVG_A,SI	1.2 	1.3 b	1.7 	2.2 	2.5 	2.3 	1.7 	2.6 	3.0 	2.7 
A,B-S,TOTAL,AVG_A,SK	0.9 	0.9 	1.0 	1.1 	1.2 	1.1 	0.8 	0.9 	1.1 	1.1 
A,B-S,TOTAL,AVG_A,UK	2.3 	2.5 	2.5 	2.6 	2.7 	2.6 	: 	: 	: 	: 
